Wavelength,Order,slit_index,detector_x,detector_y,slit_position
539.9442334403518,1,4,162.0695985,337.9482473,0
541.2367510122596,1,4,161.8357437,368.1222422,0
541.5661435463628,1,4,161.772071,375.8097041,0
543.5923799869183,1,4,163.117296,423.1928153,0
545.6800070805998,1,4,162.8108468,472.1222962,0
550.9135263946667,1,4,163.8175528,595.0124553,0
551.4786704685846,1,4,163.7375047,608.264003,0
551.9671276379478,1,4,163.7409359,619.8347386,0
554.3980631735217,1,4,165.1356619,677.1184573,0
555.2835222986021,1,4,165.0464762,698.0047998,0
559.9451447561455,1,4,166.2976937,808.305848,0
560.6028367909998,1,4,166.2822193,823.8782616,0
561.6559621319049,1,4,166.1964821,848.8634819,0
566.9383410353445,1,4,165.8036904,974.749536,0
571.0950702895592,1,4,167.2145967,1074.248399,0
572.9185169279673,1,4,167.1153828,1118.042851,0
574.5719339135017,1,4,167.0390685,1157.784014,0
575.2605424734423,1,4,166.9394274,1174.426951,0
575.6875092519127,1,4,166.9645975,1184.690707,0
576.7311400387453,1,4,166.8905558,1209.87906,0
577.1862496309332,1,4,166.8658979,1220.931926,0
579.3339620634476,1,4,166.7196392,1272.92533,0
579.6184796748765,1,4,166.7198226,1279.753161,0
588.9263868364039,1,4,167.8148608,1507.087954,0
589.4953895601154,1,4,167.7932551,1521.108341,0
590.9115546638578,1,4,167.7147205,1555.961043,0
594.826076138479,1,4,169.211127,1652.860735,0
600.884442978628,1,4,168.8032862,1804.197482,0
601.0755287173889,1,4,168.8121629,1808.952595,0
601.389870780388,1,4,168.7862485,1816.873535,0
602.4706957979214,1,4,168.7178387,1844.116406,0
605.6756338005324,1,4,170.2407792,1925.070321,0
609.1767012775675,1,4,169.9805788,2014.188386,0
611.6713299923848,1,4,169.7983735,2078.11273,0
612.8260725422813,1,4,169.725398,2107.814253,0
615.5895595758878,1,4,171.2544061,2179.161891,0
618.2390909734061,1,4,171.0292393,2248.106997,0
618.469005038881,1,4,171.0387056,2254.057107,0
623.0392162232006,1,4,172.3724726,2374.126938,0
623.8976244258773,1,4,172.3272424,2396.809074,0
635.2796614313058,1,4,173.0054218,2703.147211,0
636.0056901592757,1,4,172.9304454,2723.004532,0
638.1119963624488,1,4,172.7369177,2780.974454,0
641.7767034097194,1,4,174.1328125,2882.897388,0
648.7028286810582,1,4,175.2335179,3079.154634,0
649.4642829951318,1,4,175.1770058,3101.098665,0
662.3291164806969,1,4,176.1336443,3482.120583,0
666.9552745805564,1,4,176.1422842,3624.860041,0
667.7855446212359,1,4,176.1622912,3650.873591,0
427.74172120808623,2,4,305.7059232,725.8348151,0
424.25246550845566,2,4,307.0846669,904.8360572,0
424.0762064139785,2,4,307.0716359,913.7496062,0
416.94367510358524,2,4,306.6702956,1263.754681,0
413.7015933445294,2,4,308.2304315,1417.247632,0
411.7961745504558,2,4,308.1349707,1505.854764,0
404.1083910399205,2,4,307.6327795,1854.214873,0
398.4137407711974,2,4,308.8901423,2103.732598,0
384.4291605528748,2,4,310.9148308,2692.692142,0
381.4145286260484,2,4,310.5972326,2816.096502,0
379.3944119782576,2,4,312.0583619,2898.222324,0
378.5644663769311,2,4,311.9881024,2931.828048,0
362.48929228438766,2,4,312.7002619,3570.108941,0
355.11023116551206,2,4,313.1549828,3856.939595,0
352.9634830424301,2,4,311.8644816,3939.848345,0
539.098913028242,3,4,467,382.1292871,0
534.7928441360807,3,4,468.4147664,553.7435599,0
530.0794254771251,3,4,468.168024,735.9339906,0
515.8843727845674,3,4,470.0068362,1255.863587,0
513.0374171560903,3,4,469.7049984,1355.850702,0
510.1001891464307,3,4,471.049163,1457.842551,0
506.9397292106261,3,4,470.7568271,1566.148361,0
506.6488774407006,3,4,470.7221957,1575.956958,0
504.3698801218805,3,4,472.2151466,1653.156326,0
502.15253006129325,3,4,472.0016734,1727.725621,0
498.961922733306,3,4,471.7539267,1833.866567,0
496.59692548379945,3,4,473.2714552,1911.927239,0
492.97942892908804,3,4,472.9880552,2030.058977,0
492.8593969054824,3,4,472.9585921,2034.024845,0
487.6807223977743,3,4,474.3442857,2200.967381,0
484.8877488223376,3,4,474.2057985,2290.090304,0
484.7744786425636,3,4,474.1734681,2293.702188,0
481.7611760383009,3,4,474.0208829,2389.096904,0
479.31311410894307,3,4,473.9211381,2466.051441,0
473.96047797090887,3,4,475.349517,2632.96382,0
465.53846966311346,3,4,475.0287025,2891.96893,0
461.3556770724505,3,4,474.8936724,3019.171806,0
451.9569648015064,3,4,476.108375,3302.137223,0
451.5154920252945,3,4,476.0901517,3315.251923,0
446.5967693746772,3,4,477.3280956,3461.88031,0
443.0776341295361,3,4,477.1126636,3566.275658,0
437.2606717182422,3,4,478.1082594,3738.130149,0
433.8107507143944,3,4,479.221769,3839.638445,0
694.1164023589139,4,4,644.1832648,617.8361234,0
694.6977579601883,4,4,642.5950058,629.0003105,0
698.9655264,4,4,644.1217217,739.0778245,0
702.1604602566629,4,4,644.1242472,773.2450079,0
703.3312918770795,4,4,644.044479,795.9324251,0
708.6909952294585,4,4,643.9146033,900.1308844,0
711.0080664948947,4,4,643.8516983,945.2791261,0
716.1418891480906,4,4,645.2437488,1045.820487,0
717.1299184880734,4,4,645.2514507,1065.188917,0
726.7320069767699,4,4,644.7489134,1254.827642,0
728.7043839853181,4,4,644.6700403,1293.953827,0
731.3687370822176,4,4,646.265858,1347.126381,0
731.8044412904958,4,4,646.1917985,1355.786511,0
735.5207064580842,4,4,646.0522624,1430.161444,0
737.4019738142322,4,4,645.9367055,1468.02716,0
741.422181288043,4,4,645.7157829,1549.095015,0
764.9610181375688,4,4,648.0214756,2034.127705,0
779.1625135021595,4,4,649.1783849,2336.857898,0
785.0329347388315,4,4,648.9616976,2464.816048,0
789.3860496892704,4,4,648.8237918,2560.836305,0
803.5168871961058,4,4,650.0803283,2880.093427,0
805.5969665602652,4,4,650.0099657,2928.233337,0
833.2141489469686,4,4,651.7538631,3600.935742,0
